Field Description,UPP INITPOST Name,Model Output Name,Dimensions,Notes,,,,,,,,,,,,,,,,,,,,,,,
instantaneous convective cloud fraction,cnvcfr,tcdccnvcl,2d,,,,,,,,,,,,,,,,,,,,,,,,
slope type,sltyp,islope,2d,,,,,,,,,,,,,,,,,,,,,,,,
plant canopy sfc water in m,cmc,cnwat,2d,,,,,,,,,,,,,,,,,,,,,,,,
frozen precip fraction,sr,cpofp,2d,,,,,,,,,,,,,,,,,,,,,,,,
sea ice skin temperature,ti,tisfc,2d,,,,,,,,,,,,,,,,,,,,,,,,
vegetation fraction,vegfrc,veg,2d,,,,,,,,,,,,,,,,,,,,,,,,
liquid volumetric soil moisture,sh2o,soill1/soill2/soill3/soill4,2d,"all soil levels read into array, L5-9 RUC only",,,,,,,,,,,,,,,,,,,,,,,
volumetric soil moisture,smc,soilw1/soilw2/soilw3/soilw4.....,2d,"all soil levels read into array, L5-9 RUC only",,,,,,,,,,,,,,,,,,,,,,,
soil temperature,stc,soilt1/soilt2/soilt3/soilt4.....,2d,"all soil levels read into array, L5-9 RUC only",,,,,,,,,,,,,,,,,,,,,,,
time averaged incoming surface longwave,alwin,dlwrf_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
instantaneous incoming surface longwave,rlwin,dlwrf,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged outgoing surface longwave,alwout,ulwrf_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
instataneous outgoing surface longwave,radot,ulwrf,2d,,,,,,,,,,,,,,,,,,,,,,,,
time average outgoing model top longwave,alwtoa,ulwrf_avetoa,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged incoming surface shortwave,aswin,dswrf_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
instantaneous incoming surface shortwave,rswin,dswrf,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged incoming sfc uv-b,auvbin,duvb_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged incoming sfc clear sky uv-b,auvbinc,cduvb_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged outgoing sfc shortwave,aswout,uswrf_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
inst outgoing sfc shortwave,rswout,uswrf,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged model top incoming shortwave,aswintoa,dswrf_avetoa,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged model top outgoing shortwave,aswtoa,uswrf_avetoa,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged surface sensible heat flux,sfcshx,shtfl_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
inst surface sensible heat flux,twbs,shtfl,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged surface latent heat flux,sfclhx,lhtfl_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
inst surface latent heat flux,qwbs,lhtfl,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged ground heat flux,subshx,gflux_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
instantaneous ground heat flux,grnflx,gflux,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged zonal momentum flux,sfcux,uflx_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged meridional momentum flux,sfcvx,vflx_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
instantaneous zonal momentum flux,sfcuxi,uflx,2d,,,,,,,,,,,,,,,,,,,,,,,,
instantaneous meridional momentum flux,sfcvxi,vflx,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged zonal gravity wave stress,gtaux,u-gwd_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged meridional gravity wave stress,gtauy,v-gwd_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged accumulated potential evaporation,avgpotevp,pevpr_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
instantaneous potential evaporation,potevp,pevpr,2d,,,,,,,,,,,,,,,,,,,,,,,,
10 m u-wind component,u10,ugrd10m,2d,,,,,,,,,,,,,,,,,,,,,,,,
